path,work,season,episode
one-piece/01-east-blue/01-alvida-morgan.mp4,one-piece,01-east-blue,01-alvida-morgan.mp4
one-piece/01-east-blue/02-baggy.mp4,one-piece,01-east-blue,02-baggy.mp4
one-piece/01-east-blue/03-kuro.mp4,one-piece,01-east-blue,03-kuro.mp4
one-piece/01-east-blue/04-baratie-part1.mp4,one-piece,01-east-blue,04-baratie-part1.mp4
one-piece/01-east-blue/04-baratie-part2.mp4,one-piece,01-east-blue,04-baratie-part2.mp4
one-piece/01-east-blue/05-arlong-part1.mp4,one-piece,01-east-blue,05-arlong-part1.mp4
one-piece/01-east-blue/05-arlong-part2.mp4,one-piece,01-east-blue,05-arlong-part2.mp4
one-piece/01-east-blue/06-loguetown.mp4,one-piece,01-east-blue,06-loguetown.mp4
one-piece/02-baroque-works/One Piece Kai 07 - Arc Laboon.mp4,one-piece,02-baroque-works,One Piece Kai 07 - Arc Laboon.mp4
one-piece/02-baroque-works/One Piece Kai 08 - Arc Whiskey Peak.mp4,one-piece,02-baroque-works,One Piece Kai 08 - Arc Whiskey Peak.mp4
one-piece/02-baroque-works/One Piece Kai 09 - Arc Little Garden.mp4,one-piece,02-baroque-works,One Piece Kai 09 - Arc Little Garden.mp4
one-piece/02-baroque-works/One Piece Kai 10 - Arc Royaume de Drum - part 1.mp4,one-piece,02-baroque-works,One Piece Kai 10 - Arc Royaume de Drum - part 1.mp4
one-piece/02-baroque-works/One Piece Kai 10 - Arc Royaume de Drum - part 2.mp4,one-piece,02-baroque-works,One Piece Kai 10 - Arc Royaume de Drum - part 2.mp4
one-piece/02-baroque-works/One Piece Kai 11 - Arc Alabasta - part 1 - Nanohana-Yuba.mp4,one-piece,02-baroque-works,One Piece Kai 11 - Arc Alabasta - part 1 - Nanohana-Yuba.mp4
one-piece/02-baroque-works/One Piece Kai 11 - Arc Alabasta - part 2 - Rainbase.mp4,one-piece,02-baroque-works,One Piece Kai 11 - Arc Alabasta - part 2 - Rainbase.mp4
one-piece/02-baroque-works/One Piece Kai 11 - Arc Alabasta - part 3 - Alubarna.mp4,one-piece,02-baroque-works,One Piece Kai 11 - Arc Alabasta - part 3 - Alubarna.mp4
one-piece/02-baroque-works/One Piece Kai 11 - Arc Alabasta - part 4 - Crocodile.mp4,one-piece,02-baroque-works,One Piece Kai 11 - Arc Alabasta - part 4 - Crocodile.mp4
one-piece/03-skypiea/One Piece Kai 12 - Arc Jaya - part 1.mp4,one-piece,03-skypiea,One Piece Kai 12 - Arc Jaya - part 1.mp4
one-piece/03-skypiea/One Piece Kai 12 - Arc Jaya - part 2.mp4,one-piece,03-skypiea,One Piece Kai 12 - Arc Jaya - part 2.mp4
one-piece/03-skypiea/One Piece Kai 13 - Arc Skypiea - part 1 - Angel Beach.mp4,one-piece,03-skypiea,One Piece Kai 13 - Arc Skypiea - part 1 - Angel Beach.mp4
one-piece/03-skypiea/One Piece Kai 13 - Arc Skypiea - part 2 - Upper Yard.mp4,one-piece,03-skypiea,One Piece Kai 13 - Arc Skypiea - part 2 - Upper Yard.mp4
one-piece/03-skypiea/One Piece Kai 13 - Arc Skypiea - part 3 - Battle Royale.mp4,one-piece,03-skypiea,One Piece Kai 13 - Arc Skypiea - part 3 - Battle Royale.mp4
one-piece/03-skypiea/One Piece Kai 13 - Arc Skypiea - part 4 - Giant Jack.mp4,one-piece,03-skypiea,One Piece Kai 13 - Arc Skypiea - part 4 - Giant Jack.mp4
one-piece/03-skypiea/One Piece Kai 13 - Arc Skypiea - part 5 - Arche Maxim.mp4,one-piece,03-skypiea,One Piece Kai 13 - Arc Skypiea - part 5 - Arche Maxim.mp4
one-piece/03-skypiea/One Piece Kai 13 - Arc Skypiea - part 6 - Raviver la Flamme.mp4,one-piece,03-skypiea,One Piece Kai 13 - Arc Skypiea - part 6 - Raviver la Flamme.mp4
one-piece/04-cp9/One Piece Kai 14 - Arc Davy Back Fight.mp4,one-piece,04-cp9,One Piece Kai 14 - Arc Davy Back Fight.mp4
one-piece/04-cp9/One Piece Kai 15 - Arc Aokiji.mp4,one-piece,04-cp9,One Piece Kai 15 - Arc Aokiji.mp4
one-piece/04-cp9/One Piece Kai 16 - Arc Water Seven - part 1 - L'avenir de Merry.mp4,one-piece,04-cp9,One Piece Kai 16 - Arc Water Seven - part 1 - L'avenir de Merry.mp4
one-piece/04-cp9/One Piece Kai 16 - Arc Water Seven - part 2 - Complot.mp4,one-piece,04-cp9,One Piece Kai 16 - Arc Water Seven - part 2 - Complot.mp4
one-piece/04-cp9/One Piece Kai 16 - Arc Water Seven - part 3 - Tom.mp4,one-piece,04-cp9,One Piece Kai 16 - Arc Water Seven - part 3 - Tom.mp4
one-piece/04-cp9/One Piece Kai 17 - Arc Rocketman.mp4,one-piece,04-cp9,One Piece Kai 17 - Arc Rocketman.mp4
one-piece/04-cp9/One Piece Kai 18 - Arc Enies Lobby - part 1 - Assaut.mp4,one-piece,04-cp9,One Piece Kai 18 - Arc Enies Lobby - part 1 - Assaut.mp4
one-piece/04-cp9/One Piece Kai 18 - Arc Enies Lobby - part 2 - Tribunal.mp4,one-piece,04-cp9,One Piece Kai 18 - Arc Enies Lobby - part 2 - Tribunal.mp4
one-piece/04-cp9/One Piece Kai 18 - Arc Enies Lobby - part 3 - Les Démons d'Ohara.mp4,one-piece,04-cp9,One Piece Kai 18 - Arc Enies Lobby - part 3 - Les Démons d'Ohara.mp4
one-piece/04-cp9/One Piece Kai 18 - Arc Enies Lobby - part 4 - Tour Judiciaire.mp4,one-piece,04-cp9,One Piece Kai 18 - Arc Enies Lobby - part 4 - Tour Judiciaire.mp4
one-piece/04-cp9/One Piece Kai 18 - Arc Enies Lobby - part 5 - Buster Call.mp4,one-piece,04-cp9,One Piece Kai 18 - Arc Enies Lobby - part 5 - Buster Call.mp4
